"Date","Measured Date","Depth"," ","W.C."," ","Density"
"5/1992","30-Apr-1992","0.0","","0.0","","0%"
"2/1993","28-Jan-1993","70.1","","23.8","","34%"
"3/1993","01-Mar-1993","77.2","","28.6","","37%"
"4/1993","30-Mar-1993","46.8","","22.2","","47%"
"5/1993","30-Apr-1993","27.4","","13.8","","50%"
"2/1994","31-Jan-1994","31.7","","9.7","","31%"
"3/1994","01-Mar-1994","48.2","","17.0","","35%"
"4/1994","31-Mar-1994","31.4","","15.4","","49%"
"5/1994","29-Apr-1994","3.0","","0.8","","27%"
"2/1995","30-Jan-1995","66.7","","30.4","","46%"
"3/1995","28-Feb-1995","45.8","","21.8","","48%"
"4/1995","30-Mar-1995","60.8","","26.2","","43%"
"5/1995","02-May-1995","37.8","","18.1","","48%"
"2/1996","31-Jan-1996","48.9","","12.2","","25%"
"3/1996","01-Mar-1996","54.3","","13.3","","24%"
"4/1996","28-Mar-1996","25.8","","10.6","","41%"
"5/1996","30-Apr-1996","1.5","","0.8","","53%"
"2/1997","30-Jan-1997","14.6","","5.0","","34%"
"3/1997","27-Feb-1997","12.5","","4.6","","37%"
"4/1997","31-Mar-1997","0.0","","0.0","","0%"
"2/1998","30-Jan-1998","41.2","","14.4","","35%"
"3/1998","27-Feb-1998","115.4","","38.4","","33%"
"4/1998","30-Mar-1998","73.4","","35.8","","49%"
"5/1998","30-Apr-1998","54.0","","26.8","","50%"
"2/1999","29-Jan-1999","38.4","","10.6","","28%"
"3/1999","01-Mar-1999","73.6","","24.6","","33%"
"4/1999","01-Apr-1999","79.3","","31.0","","39%"
"5/1999","30-Apr-1999","48.0","","24.2","","50%"
"2/2000","28-Jan-2000","27.4","","9.8","","36%"
"3/2000","01-Mar-2000","70.0","","24.4","","35%"
"4/2000","31-Mar-2000","51.0","","22.8","","45%"
"5/2000","03-May-2000","11.6","","5.8","","50%"
"2/2001","31-Jan-2001","35.4","","9.0","","25%"
"3/2001","28-Feb-2001","70.4","","16.9","","24%"
"4/2001","02-Apr-2001","38.0","","10.2","","27%"
"5/2001","01-May-2001","21.4","","10.6","","50%"
"2/2002","30-Jan-2002","59.3","","18.5","","31%"
"3/2002","27-Feb-2002","61.5","","16.8","","27%"
"4/2002","29-Mar-2002","59.9","","13.8","","23%"
"5/2002","02-May-2002","0.0","","0.0","","0%"
"2/2003","29-Jan-2003","42.4","","18.4","","43%"
"3/2003","27-Feb-2003","38.8","","16.4","","42%"
"4/2003","27-Mar-2003","32.2","","12.8","","40%"
"5/2003","01-May-2003","51.0","","18.2","","36%"
"2/2004","30-Jan-2004","49.0","","15.0","","31%"
"3/2004","27-Feb-2004","79.0","","20.4","","26%"
"4/2004","31-Mar-2004","45.0","","20.2","","45%"
"5/2004","30-Apr-2004","8.4","","3.8","","45%"
"2/2005","27-Jan-2005","46.2","","17.2","","37%"
"3/2005","24-Feb-2005","48.0","","20.6","","43%"
"4/2005","30-Mar-2005","56.8","","19.6","","35%"
"5/2005","26-Apr-2005","35.7","","16.4","","46%"
"2/2006","31-Jan-2006","48.8","","14.0","","29%"
"3/2006","24-Feb-2006","32.4","","12.8","","40%"
"4/2006","30-Mar-2006","81.0","","28.0","","35%"
"5/2006","27-Apr-2006","72.4","","30.8","","43%"
"2/2007","30-Jan-2007","22.7","","7.8","","34%"
"3/2007","01-Mar-2007","55.0","","13.0","","24%"
"4/2007","29-Mar-2007","17.9","","7.0","","39%"
"5/2007","01-May-2007","0.0","","0.0","","0%"
"2/2008","30-Jan-2008","80.5","","21.5","","27%"
"3/2008","26-Feb-2008","86.2","","30.6","","35%"
"4/2008","27-Mar-2008","64.3","","28.2","","44%"
"5/2008","02-May-2008","38.6","","18.4","","48%"
"2/2009","29-Jan-2009","14.1","","3.3","","23%"
"3/2009","26-Feb-2009","40.9","","13.2","","32%"
"4/2009","27-Mar-2009","37.4","","14.0","","37%"
"5/2009","04-May-2009","0.5","","0.2","","40%"
"4/2010","31-Mar-2010","77.0","","16.8","","22%"
"5/2010","03-May-2010","80.9","","30.8","","38%"
"2/2011","31-Jan-2011","27.9","","8.6","","31%"
"4/2011","30-Mar-2011","84.7","","28.8","","34%"
"5/2011","27-Apr-2011","43.9","","18.2","","41%"
"2/2012","30-Jan-2012","25.0","","8.4","","34%"
"3/2012","28-Feb-2012","24.8","","9.6","","39%"
"4/2012","03-Apr-2012","57.4","","21.6","","38%"
"5/2012","01-May-2012","31.0","","13.0","","42%"
"2/2013","29-Jan-2013","26.6","","8.6","","32%"
"3/2013","27-Feb-2013","27.2","","8.0","","29%"
"4/2013","02-Apr-2013","10.4","","5.0","","48%"
"5/2013","02-May-2013","0.0","","0.0","","0%"
"2/2014","03-Feb-2014","0.0","","0.0","","0%"
"3/2014","27-Feb-2014","2.0","","0.5","","25%"
"4/2014","27-Mar-2014","1.5","","0.0","","0%"
"5/2014","01-May-2014","0.0","","0.0","","0%"
"2/2015","28-Jan-2015","0.0","","0.0","","0%"
"3/2015","02-Mar-2015","0.0","","0.0","","0%"
"4/2015","30-Mar-2015","0.0","","0.0","","0%"
"5/2015","30-Apr-2015","0.0","","0.0","","0%"
"2/2016","27-Jan-2016","47.5","","23.0","","48%"
"3/2016","02-Mar-2016","27.0","","10.0","","37%"
"4/2016","28-Mar-2016","20.0","","9.0","","45%"
"5/2016","03-May-2016","0.0","","0.0","","0%"
"2/2017","30-Jan-2017","47.5","","13.0","","27%"
"3/2017","01-Mar-2017","50.0","","15.5","","31%"
"4/2017","30-Mar-2017","29.0","","12.0","","41%"
"5/2017","26-Apr-2017","19.5","","9.0","","46%"
"2/2018","01-Feb-2018","10.0","","2.5","","25%"
"3/2018","27-Feb-2018","13.0","","4.0","","31%"
"4/2018","02-Apr-2018","14.0","","4.5","","32%"
"5/2018","03-May-2018","0.0","","0.0","","0%"
"2/2019","30-Jan-2019","31.5","","11.5","","37%"
"3/2019","28-Feb-2019","126.0","","40.0","","32%"
"4/2019","28-Mar-2019","77.0","","24.0","","31%"
"5/2019","25-Apr-2019","29.5","","11.5","","39%"
"2/2020","30-Jan-2020","24.0","","11.0","","46%"
"3/2020","02-Mar-2020","19.0","","6.0","","32%"
"4/2020","26-Mar-2020","21.0","","7.0","","33%"
"5/2020","29-Apr-2020","0.0","","0.0","","0%"
"2/2021","02-Feb-2021","44.0","","10.0","","23%"
"3/2021","02-Mar-2021","23.0","","10.5","","46%"
"4/2021","25-Mar-2021","45.0","","15.5","","34%"
"5/2021","28-Apr-2021","7.5","","3.0","","40%"
"2/2022","31-Jan-2022","24.0","","6.0","","25%"
"3/2022","01-Mar-2022","9.0","","3.0","","33%"
"4/2022","01-Apr-2022","0.0","","0.0","","0%"
"5/2022","02-May-2022","0.0","","0.0","","0%"
"2/2023","01-Feb-2023","52.5","","17.0","","32%"
"4/2023","05-Apr-2023","84.0","","32.0","","38%"
"5/2023","04-May-2023","21.0","","7.0","","33%"
