"Date","Measured Date","Depth"," ","W.C."," ","Density"
"2/1990","30-Jan-1990","31.4","","5.8","","18%"
"3/1990","02-Mar-1990","47.0","","16.0","","34%"
"4/1990","02-Apr-1990","37.8","","16.2","","43%"
"5/1990","01-May-1990","3.1","","1.2","","39%"
"2/1991","01-Feb-1991","9.9","","2.8","","28%"
"3/1991","28-Feb-1991","5.6","","2.6","","46%"
"4/1991","28-Mar-1991","40.1","","11.2","","28%"
"5/1991","30-Apr-1991","17.9","","7.9","","44%"
"2/1992","28-Jan-1992","23.5","","7.1","","30%"
"3/1992","28-Feb-1992","31.0","","11.6","","37%"
"4/1992","31-Mar-1992","13.8","","6.2","","45%"
"5/1992","01-May-1992","0.0","","0.0","","0%"
"2/1993","01-Feb-1993","90.0","","32.4","","36%"
"3/1993","01-Mar-1993","111.0","","39.5","","36%"
"4/1993","31-Mar-1993","74.5","","36.0","","48%"
"5/1993","30-Apr-1993","79.6","","36.6","","46%"
"2/1994","31-Jan-1994","36.1","","12.4","","34%"
"3/1994","28-Feb-1994","61.8","","18.3","","30%"
"4/1994","31-Mar-1994","39.6","","17.8","","45%"
"5/1994","29-Apr-1994","19.7","","8.8","","45%"
"2/1995","30-Jan-1995","66.7","","34.8","","52%"
"3/1995","27-Feb-1995","62.6","","28.2","","45%"
"4/1995","31-Mar-1995","87.2","","37.8","","43%"
"5/1995","01-May-1995","77.6","","37.4","","48%"
"2/1996","31-Jan-1996","103.0","","27.4","","27%"
"3/1996","29-Feb-1996","88.0","","31.8","","36%"
"4/1996","27-Mar-1996","74.5","","31.2","","42%"
"5/1996","30-Apr-1996","52.7","","26.2","","50%"
"2/1997","30-Jan-1997","39.0","","14.0","","36%"
"3/1997","27-Feb-1997","51.0","","16.7","","33%"
"4/1997","31-Mar-1997","41.8","","15.0","","36%"
"5/1997","29-Apr-1997","14.8","","6.6","","45%"
"2/1998","28-Jan-1998","57.8","","21.4","","37%"
"3/1998","01-Mar-1998","119.0","","42.4","","36%"
"4/1998","27-Mar-1998","88.6","","37.8","","43%"
"5/1998","01-May-1998","67.2","","31.8","","47%"
"2/1999","29-Jan-1999","69.0","","25.0","","36%"
"3/1999","26-Feb-1999","153.0","","39.6","","26%"
"4/1999","05-Apr-1999","142.8","","57.0","","40%"
"5/1999","29-Apr-1999","101.8","","49.0","","48%"
"2/2000","31-Jan-2000","58.0","","19.0","","33%"
"3/2000","29-Feb-2000","90.8","","30.2","","33%"
"4/2000","01-Apr-2000","68.0","","32.0","","47%"
"5/2000","01-May-2000","45.0","","22.8","","51%"
"2/2001","02-Feb-2001","30.6","","8.6","","28%"
"3/2001","28-Feb-2001","36.6","","11.6","","32%"
"4/2001","02-Apr-2001","16.0","","6.0","","38%"
"5/2001","30-Apr-2001","8.2","","3.9","","48%"
"2/2002","30-Jan-2002","45.0","","23.2","","52%"
"3/2002","26-Feb-2002","87.0","","32.2","","37%"
"4/2002","28-Mar-2002","89.3","","35.3","","40%"
"5/2002","30-Apr-2002","48.8","","21.4","","44%"
"2/2003","29-Jan-2003","52.2","","22.8","","44%"
"3/2003","27-Feb-2003","54.0","","20.4","","38%"
"4/2003","31-Mar-2003","38.0","","19.0","","50%"
"5/2003","01-May-2003","69.0","","27.0","","39%"
"2/2004","30-Jan-2004","48.6","","23.0","","47%"
"3/2004","01-Mar-2004","114.0","","37.8","","33%"
"4/2004","29-Mar-2004","85.0","","34.4","","40%"
"5/2004","30-Apr-2004","48.0","","23.6","","49%"
"2/2005","31-Jan-2005","37.6","","12.8","","34%"
"3/2005","24-Feb-2005","37.2","","13.8","","37%"
"4/2005","28-Mar-2005","45.9","","14.4","","31%"
"5/2005","27-Apr-2005","38.2","","15.8","","41%"
"2/2006","31-Jan-2006","69.8","","21.0","","30%"
"3/2006","01-Mar-2006","60.0","","21.0","","35%"
"4/2006","03-Apr-2006","96.3","","30.9","","32%"
"5/2006","27-Apr-2006","72.4","","30.0","","41%"
"2/2007","31-Jan-2007","15.3","","5.6","","37%"
"3/2007","02-Mar-2007","93.0","","20.5","","22%"
"4/2007","30-Mar-2007","39.9","","15.6","","39%"
"5/2007","26-Apr-2007","26.0","","10.0","","38%"
"2/2008","05-Feb-2008","125.8","","36.2","","29%"
"3/2008","28-Feb-2008","100.8","","36.2","","36%"
"4/2008","27-Mar-2008","97.4","","39.4","","40%"
"5/2008","01-May-2008","74.4","","33.8","","45%"
"2/2009","29-Jan-2009","35.7","","12.8","","36%"
"3/2009","27-Feb-2009","57.0","","20.0","","35%"
"4/2009","27-Mar-2009","59.8","","22.6","","38%"
"5/2009","01-May-2009","28.9","","12.2","","42%"
"2/2010","27-Jan-2010","50.6","","12.4","","25%"
"3/2010","05-Mar-2010","50.1","","16.4","","33%"
"4/2010","01-Apr-2010","66.7","","22.0","","33%"
"5/2010","30-Apr-2010","72.0","","27.4","","38%"
"2/2011","28-Jan-2011","37.4","","15.8","","42%"
"3/2011","01-Mar-2011","61.0","","20.2","","33%"
"4/2011","30-Mar-2011","109.6","","39.0","","36%"
"5/2011","29-Apr-2011","78.2","","34.6","","44%"
"2/2012","27-Jan-2012","25.4","","10.8","","43%"
"3/2012","02-Mar-2012","52.8","","14.4","","27%"
"4/2012","02-Apr-2012","80.6","","27.6","","34%"
"5/2012","03-May-2012","36.0","","15.8","","44%"
"2/2013","31-Jan-2013","43.0","","13.8","","32%"
"3/2013","28-Feb-2013","43.2","","15.4","","36%"
"4/2013","02-Apr-2013","23.6","","10.6","","45%"
"5/2013","01-May-2013","3.6","","1.6","","44%"
"2/2014","30-Jan-2014","0.5","","0.5","","100%"
"3/2014","03-Mar-2014","1.0","","0.5","","50%"
"4/2014","27-Mar-2014","8.5","","1.5","","18%"
