"Date","Measured Date","Depth"," ","W.C."," ","Density"
"3/1994","01-Mar-1994","57.9","","22.5","","39%"
"4/1994","29-Mar-1994","38.5","","19.8","","51%"
"5/1994","29-Apr-1994","9.3","","3.2","","34%"
"2/1995","30-Jan-1995","91.7","","38.5","","42%"
"3/1995","28-Feb-1995","60.8","","32.3","","53%"
"4/1995","30-Mar-1995","90.0","","48.2","","54%"
"5/1995","02-May-1995","72.2","","40.4","","56%"
"2/1996","31-Jan-1996","64.5","","19.1","","30%"
"4/1996","28-Mar-1996","53.3","","24.3","","46%"
"5/1996","30-Apr-1996","24.4","","13.6","","56%"
"2/1997","30-Jan-1997","39.6","","16.3","","41%"
"3/1997","27-Feb-1997","37.7","","14.9","","40%"
"4/1997","31-Mar-1997","23.6","","11.0","","47%"
"2/1998","30-Jan-1998","57.9","","22.8","","39%"
"4/1998","30-Mar-1998","106.5","","56.0","","53%"
"5/1998","30-Apr-1998","91.9","","51.8","","56%"
"2/1999","29-Jan-1999","57.3","","18.5","","32%"
"3/1999","01-Mar-1999","96.4","","35.4","","37%"
"4/1999","01-Apr-1999","106.8","","45.1","","42%"
"5/1999","30-Apr-1999","86.3","","35.2","","41%"
"2/2000","28-Jan-2000","47.7","","16.6","","35%"
"3/2000","01-Mar-2000","103.0","","36.5","","35%"
"4/2000","31-Mar-2000","77.0","","37.4","","49%"
"5/2000","03-May-2000","46.0","","25.4","","55%"
"2/2001","31-Jan-2001","38.6","","10.8","","28%"
"4/2001","02-Apr-2001","44.4","","17.3","","39%"
"5/2001","01-May-2001","31.0","","16.3","","53%"
"2/2002","30-Jan-2002","61.0","","30.7","","50%"
"3/2002","27-Feb-2002","61.8","","28.5","","46%"
"4/2002","29-Mar-2002","59.5","","27.5","","46%"
"5/2002","02-May-2002","20.5","","10.5","","51%"
"2/2003","29-Jan-2003","65.2","","30.8","","47%"
"3/2003","27-Feb-2003","68.0","","34.1","","50%"
"4/2003","27-Mar-2003","69.9","","36.3","","52%"
"5/2003","01-May-2003","102.0","","43.2","","42%"
"2/2004","30-Jan-2004","62.9","","21.2","","34%"
"3/2004","27-Feb-2004","110.0","","35.7","","32%"
"4/2004","31-Mar-2004","65.1","","31.5","","48%"
"5/2004","30-Apr-2004","35.2","","18.5","","53%"
"2/2005","27-Jan-2005","58.1","","21.9","","38%"
"3/2005","24-Feb-2005","66.1","","24.8","","38%"
"4/2005","29-Mar-2005","82.7","","31.8","","38%"
"5/2005","26-Apr-2005","63.0","","30.1","","48%"
"2/2006","31-Jan-2006","77.7","","23.4","","30%"
"3/2006","24-Feb-2006","62.2","","32.4","","52%"
"4/2006","30-Mar-2006","119.9","","45.9","","38%"
"5/2006","27-Apr-2006","113.7","","54.0","","47%"
"2/2007","30-Jan-2007","26.3","","9.4","","36%"
"3/2007","01-Mar-2007","69.0","","18.0","","26%"
"4/2007","29-Mar-2007","32.2","","13.5","","42%"
"5/2007","20-Apr-2007","4.4","","1.9","","43%"
"2/2008","30-Jan-2008","85.1","","23.8","","28%"
"3/2008","26-Feb-2008","95.6","","31.0","","32%"
"4/2008","27-Mar-2008","71.9","","33.6","","47%"
"5/2008","02-May-2008","48.3","","25.3","","52%"
"2/2009","29-Jan-2009","19.4","","6.1","","31%"
"3/2009","26-Feb-2009","56.5","","20.9","","37%"
"4/2009","27-Mar-2009","58.1","","24.4","","42%"
"5/2009","04-May-2009","25.7","","10.3","","40%"
"4/2010","31-Mar-2010","91.0","","24.2","","27%"
"5/2010","03-May-2010","102.3","","34.7","","34%"
"2/2011","31-Jan-2011","40.4","","13.8","","34%"
"4/2011","30-Mar-2011","114.2","","39.6","","35%"
"5/2011","27-Apr-2011","78.0","","37.2","","48%"
"2/2012","30-Jan-2012","25.2","","9.9","","39%"
"3/2012","28-Feb-2012","26.9","","11.3","","42%"
"4/2012","03-Apr-2012","69.8","","26.4","","38%"
"5/2012","01-May-2012","41.0","","18.7","","46%"
"2/2013","29-Jan-2013","43.0","","16.1","","37%"
"3/2013","27-Feb-2013","44.7","","14.8","","33%"
"4/2013","02-Apr-2013","30.3","","14.3","","47%"
"5/2013","02-May-2013","1.3","","0.8","","62%"
"2/2014","03-Feb-2014","2.0","","1.5","","75%"
"3/2014","27-Feb-2014","10.5","","2.0","","19%"
"4/2014","27-Mar-2014","3.0","","1.0","","33%"
"5/2014","01-May-2014","0.0","","0.0","","0%"
"2/2015","28-Jan-2015","5.5","","3.0","","55%"
"3/2015","02-Mar-2015","11.0","","4.5","","41%"
"4/2015","30-Mar-2015","0.5","","0.5","","100%"
"5/2015","30-Apr-2015","0.0","","0.0","","0%"
"2/2016","27-Jan-2016","63.5","","21.0","","33%"
"3/2016","02-Mar-2016","54.0","","24.0","","44%"
"4/2016","28-Mar-2016","58.0","","26.5","","46%"
"5/2016","03-May-2016","6.5","","4.0","","62%"
"2/2017","30-Jan-2017","69.0","","21.0","","30%"
"3/2017","01-Mar-2017","84.5","","32.0","","38%"
"4/2017","30-Mar-2017","66.5","","30.0","","45%"
"5/2017","26-Apr-2017","61.0","","31.0","","51%"
"2/2018","01-Feb-2018","11.0","","3.5","","32%"
"3/2018","27-Feb-2018","17.0","","4.0","","24%"
"4/2018","02-Apr-2018","18.5","","7.0","","38%"
"5/2018","03-May-2018","0.0","","0.0","","0%"
"2/2019","30-Jan-2019","55.5","","21.0","","38%"
"4/2019","28-Mar-2019","108.5","","41.0","","38%"
"5/2019","25-Apr-2019","65.0","","32.5","","50%"
"2/2020","30-Jan-2020","35.0","","15.5","","44%"
"3/2020","02-Mar-2020","29.0","","12.0","","41%"
"4/2020","26-Mar-2020","34.0","","14.0","","41%"
"5/2020","29-Apr-2020","6.0","","3.0","","50%"
"2/2021","02-Feb-2021","50.0","","11.0","","22%"
"3/2021","02-Mar-2021","42.5","","15.5","","36%"
"4/2021","25-Mar-2021","54.5","","19.0","","35%"
"5/2021","28-Apr-2021","8.5","","4.0","","47%"
"2/2022","31-Jan-2022","28.0","","11.5","","41%"
"3/2022","01-Mar-2022","25.0","","10.5","","42%"
"4/2022","01-Apr-2022","6.5","","2.5","","38%"
