,Date,Date,2007,,Date,2007,,Date,2008,,Date,2008,,Date,2009,,Date,2009,,Date,2010,,,2010,,,2011,,,2011,,,2012,,,2012,,,2013,,,2013,,,2014,,,2014,,,2015,,,2015,,,2016,,,2016,,,2017,,,2017,,,2018,,,2018,Date
,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,
0,11/12,11/12/2007,85,,11/12/2007,49,,11/12/2008,9,,11/12/2008,4,,11/12/2009,7,,11/12/2009,0,,11/12/2010,1,,11/12/2010,8,,11/12/2011,11,,11/12/2011,1,,11/12/2012,1,,11/12/2012,0,,11/12/2013,38,,11/12/2013,0,,11/12/2014,20,,11/12/2014,0,,11/12/2015,1,,11/12/2015,0,,11/12/2016,2,,11/12/2016,8,,11/12/2017,7,,11/12/2017,6,,11/12/2018,1,,11/12/2018,0,11/12
0,11/13,11/13/2007,203,,11/13/2007,174,,11/13/2008,5,,11/13/2008,8,,11/13/2009,8,,11/13/2009,0,,11/13/2010,3,,11/13/2010,5,,11/13/2011,27,,11/13/2011,2,,11/13/2012,10,,11/13/2012,4,,11/13/2013,84,,11/13/2013,1,,11/13/2014,14,,11/13/2014,2,,11/13/2015,0,,11/13/2015,0,,11/13/2016,2,,11/13/2016,6,,11/13/2017,7,,11/13/2017,64,,11/13/2018,-1,,11/13/2018,0,11/13
0,11/14,11/14/2007,143,,11/14/2007,282,,11/14/2008,2,,11/14/2008,3,,11/14/2009,6,,11/14/2009,0,,11/14/2010,4,,11/14/2010,4,,11/14/2011,30,,11/14/2011,2,,11/14/2012,9,,11/14/2012,7,,11/14/2013,56,,11/14/2013,1,,11/14/2014,34,,11/14/2014,5,,11/14/2015,-1,,11/14/2015,0,,11/14/2016,-1,,11/14/2016,9,,11/14/2017,3,,11/14/2017,31,,11/14/2018,1,,11/14/2018,0,11/14
0,11/15,11/15/2007,129,,11/15/2007,334,,11/15/2008,0,,11/15/2008,2,,11/15/2009,0,,11/15/2009,0,,11/15/2010,5,,11/15/2010,16,,11/15/2011,18,,11/15/2011,14,,11/15/2012,11,,11/15/2012,0,,11/15/2013,15,,11/15/2013,3,,11/15/2014,43,,11/15/2014,2,,11/15/2015,-1,,11/15/2015,0,,11/15/2016,2,,11/15/2016,18,,11/15/2017,0,,11/15/2017,12,,11/15/2018,0,,11/15/2018,0,11/15
0,11/16,11/16/2007,78,,11/16/2007,36,,11/16/2008,3,,11/16/2008,1,,11/16/2009,6,,11/16/2009,0,,11/16/2010,2,,11/16/2010,34,,11/16/2011,7,,11/16/2011,25,,11/16/2012,7,,11/16/2012,6,,11/16/2013,13,,11/16/2013,8,,11/16/2014,28,,11/16/2014,1,,11/16/2015,0,,11/16/2015,0,,11/16/2016,0,,11/16/2016,7,,11/16/2017,2,,11/16/2017,18,,11/16/2018,0,,11/16/2018,0,11/16
0,11/17,11/17/2007,41,,11/17/2007,12,,11/17/2008,2,,11/17/2008,1,,11/17/2009,14,,11/17/2009,0,,11/17/2010,1,,11/17/2010,9,,11/17/2011,27,,11/17/2011,28,,11/17/2012,11,,11/17/2012,5,,11/17/2013,11,,11/17/2013,2,,11/17/2014,8,,11/17/2014,0,,11/17/2015,0,,11/17/2015,0,,11/17/2016,0,,11/17/2016,6,,11/17/2017,0,,11/17/2017,27,,11/17/2018,0,,11/17/2018,0,11/17
0,11/18,11/18/2007,88,,11/18/2007,150,,11/18/2008,1,,11/18/2008,2,,11/18/2009,4,,11/18/2009,0,,11/18/2010,2,,11/18/2010,4,,11/18/2011,20,,11/18/2011,46,,11/18/2012,3,,11/18/2012,14,,11/18/2013,5,,11/18/2013,0,,11/18/2014,9,,11/18/2014,0,,11/18/2015,0,,11/18/2015,0,,11/18/2016,0,,11/18/2016,4,,11/18/2017,2,,11/18/2017,8,,11/18/2018,0,,11/18/2018,0,11/18
0,11/19,11/19/2007,40,,11/19/2007,297,,11/19/2008,1,,11/19/2008,0,,11/19/2009,5,,11/19/2009,0,,11/19/2010,1,,11/19/2010,0,,11/19/2011,10,,11/19/2011,16,,11/19/2012,7,,11/19/2012,5,,11/19/2013,24,,11/19/2013,12,,11/19/2014,16,,11/19/2014,0,,11/19/2015,4,,11/19/2015,0,,11/19/2016,0,,11/19/2016,6,,11/19/2017,-1,,11/19/2017,1,,11/19/2018,0,,11/19/2018,0,11/19
0,11/20,11/20/2007,8,,11/20/2007,14,,11/20/2008,1,,11/20/2008,0,,11/20/2009,18,,11/20/2009,2,,11/20/2010,0,,11/20/2010,2,,11/20/2011,3,,11/20/2011,22,,11/20/2012,15,,11/20/2012,65,,11/20/2013,46,,11/20/2013,316,,11/20/2014,12,,11/20/2014,0,,11/20/2015,13,,11/20/2015,0,,11/20/2016,0,,11/20/2016,8,,11/20/2017,0,,11/20/2017,2,,11/20/2018,0,,11/20/2018,0,11/20
0,11/21,11/21/2007,-1,,11/21/2007,1,,11/21/2008,3,,11/21/2008,0,,11/21/2009,15,,11/21/2009,1,,11/21/2010,1,,11/21/2010,1,,11/21/2011,5,,11/21/2011,6,,11/21/2012,6,,11/21/2012,18,,11/21/2013,27,,11/21/2013,366,,11/21/2014,6,,11/21/2014,0,,11/21/2015,3,,11/21/2015,0,,11/21/2016,0,,11/21/2016,7,,11/21/2017,0,,11/21/2017,0,,11/21/2018,0,,11/21/2018,0,11/21
0,11/22,11/22/2007,0,,11/22/2007,3,,11/22/2008,2,,11/22/2008,0,,11/22/2009,33,,11/22/2009,0,,11/22/2010,1,,11/22/2010,1,,11/22/2011,5,,11/22/2011,35,,11/22/2012,0,,11/22/2012,11,,11/22/2013,-2,,11/22/2013,1,,11/22/2014,18,,11/22/2014,128,,11/22/2015,3,,11/22/2015,0,,11/22/2016,0,,11/22/2016,10,,11/22/2017,0,,11/22/2017,1,,11/22/2018,0,,11/22/2018,0,11/22
0,11/23,11/23/2007,1,,11/23/2007,1,,11/23/2008,1,,11/23/2008,0,,11/23/2009,1,,11/23/2009,0,,11/23/2010,0,,11/23/2010,2,,11/23/2011,8,,11/23/2011,45,,11/23/2012,0,,11/23/2012,7,,11/23/2013,3,,11/23/2013,0,,11/23/2014,14,,11/23/2014,35,,11/23/2015,1,,11/23/2015,0,,11/23/2016,0,,11/23/2016,11,,11/23/2017,0,,11/23/2017,2,,11/23/2018,6,,11/23/2018,2,11/23
0,11/24,11/24/2007,2,,11/24/2007,3,,11/24/2008,1,,11/24/2008,0,,11/24/2009,3,,11/24/2009,0,,11/24/2010,0,,11/24/2010,1,,11/24/2011,4,,11/24/2011,28,,11/24/2012,1,,11/24/2012,0,,11/24/2013,-2,,11/24/2013,2,,11/24/2014,16,,11/24/2014,44,,11/24/2015,0,,11/24/2015,0,,11/24/2016,0,,11/24/2016,2,,11/24/2017,0,,11/24/2017,1,,11/24/2018,5,,11/24/2018,1,11/24
0,11/25,11/25/2007,3,,11/25/2007,3,,11/25/2008,2,,11/25/2008,0,,11/25/2009,4,,11/25/2009,0,,11/25/2010,0,,11/25/2010,0,,11/25/2011,3,,11/25/2011,25,,11/25/2012,-1,,11/25/2012,1,,11/25/2013,-1,,11/25/2013,1,,11/25/2014,16,,11/25/2014,26,,11/25/2015,0,,11/25/2015,0,,11/25/2016,1,,11/25/2016,4,,11/25/2017,0,,11/25/2017,-1,,11/25/2018,12,,11/25/2018,99,11/25
0,11/26,11/26/2007,6,,11/26/2007,22,,11/26/2008,0,,11/26/2008,0,,11/26/2009,5,,11/26/2009,0,,11/26/2010,1,,11/26/2010,1,,11/26/2011,1,,11/26/2011,4,,11/26/2012,1,,11/26/2012,1,,11/26/2013,6,,11/26/2013,1,,11/26/2014,25,,11/26/2014,12,,11/26/2015,1,,11/26/2015,0,,11/26/2016,1,,11/26/2016,4,,11/26/2017,1,,11/26/2017,5,,11/26/2018,12,,11/26/2018,122,11/26
0,11/27,11/27/2007,7,,11/27/2007,6,,11/27/2008,0,,11/27/2008,1,,11/27/2009,9,,11/27/2009,2,,11/27/2010,-1,,11/27/2010,1,,11/27/2011,0,,11/27/2011,3,,11/27/2012,0,,11/27/2012,0,,11/27/2013,1,,11/27/2013,5,,11/27/2014,12,,11/27/2014,7,,11/27/2015,0,,11/27/2015,0,,11/27/2016,1,,11/27/2016,4,,11/27/2017,0,,11/27/2017,-1,,11/27/2018,10,,11/27/2018,229,11/27
0,11/28,11/28/2007,-1,,11/28/2007,12,,11/28/2008,0,,11/28/2008,0,,11/28/2009,1,,11/28/2009,0,,11/28/2010,0,,11/28/2010,1,,11/28/2011,-1,,11/28/2011,4,,11/28/2012,0,,11/28/2012,2,,11/28/2013,1,,11/28/2013,4,,11/28/2014,4,,11/28/2014,5,,11/28/2015,0,,11/28/2015,0,,11/28/2016,1,,11/28/2016,6,,11/28/2017,0,,11/28/2017,0,,11/28/2018,7,,11/28/2018,138,11/28
0,11/29,11/29/2007,5,,11/29/2007,21,,11/29/2008,1,,11/29/2008,0,,11/29/2009,0,,11/29/2009,1,,11/29/2010,0,,11/29/2010,0,,11/29/2011,-1,,11/29/2011,2,,11/29/2012,0,,11/29/2012,2,,11/29/2013,5,,11/29/2013,1,,11/29/2014,1,,11/29/2014,38,,11/29/2015,0,,11/29/2015,0,,11/29/2016,-1,,11/29/2016,4,,11/29/2017,0,,11/29/2017,2,,11/29/2018,4,,11/29/2018,45,11/29
0,11/30,11/30/2007,4,,11/30/2007,4,,11/30/2008,0,,11/30/2008,0,,11/30/2009,0,,11/30/2009,0,,11/30/2010,1,,11/30/2010,3,,11/30/2011,0,,11/30/2011,0,,11/30/2012,,,11/30/2012,,,11/30/2013,-2,,11/30/2013,32,,11/30/2014,3,,11/30/2014,27,,11/30/2015,0,,11/30/2015,0,,11/30/2016,0,,11/30/2016,0,,11/30/2017,0,,11/30/2017,1,,11/30/2018,6,,11/30/2018,8,11/30
0,12/1,12/1/2007,1,,12/1/2007,1,,12/1/2008,0,,12/1/2008,1,,12/1/2009,1,,12/1/2009,0,,12/1/2010,-1,,12/1/2010,11,,12/1/2011,0,,12/1/2011,0,,12/1/2012,,,12/1/2012,,,12/1/2013,-1,,12/1/2013,37,,12/1/2014,3,,12/1/2014,8,,12/1/2015,-1,,12/1/2015,0,,12/1/2016,0,,12/1/2016,5,,12/1/2017,0,,12/1/2017,-2,,12/1/2018,1,,12/1/2018,3,12/1
0,12/2,12/2/2007,1,,12/2/2007,5,,12/2/2008,-1,,12/2/2008,1,,12/2/2009,-1,,12/2/2009,0,,12/2/2010,0,,12/2/2010,54,,12/2/2011,0,,12/2/2011,0,,12/2/2012,,,12/2/2012,,,12/2/2013,0,,12/2/2013,171,,12/2/2014,3,,12/2/2014,4,,12/2/2015,2,,12/2/2015,0,,12/2/2016,-1,,12/2/2016,2,,12/2/2017,0,,12/2/2017,0,,12/2/2018,0,,12/2/2018,2,12/2
0,12/3,12/3/2007,1,,12/3/2007,2,,12/3/2008,0,,12/3/2008,0,,12/3/2009,0,,12/3/2009,0,,12/3/2010,0,,12/3/2010,23,,12/3/2011,0,,12/3/2011,0,,12/3/2012,,,12/3/2012,,,12/3/2013,1,,12/3/2013,61,,12/3/2014,0,,12/3/2014,0,,12/3/2015,1,,12/3/2015,0,,12/3/2016,0,,12/3/2016,3,,12/3/2017,0,,12/3/2017,-1,,12/3/2018,2,,12/3/2018,1,12/3
0,12/4,12/4/2007,0,,12/4/2007,0,,12/4/2008,0,,12/4/2008,0,,12/4/2009,0,,12/4/2009,0,,12/4/2010,0,,12/4/2010,15,,12/4/2011,0,,12/4/2011,0,,12/4/2012,,,12/4/2012,,,12/4/2013,0,,12/4/2013,6,,12/4/2014,1,,12/4/2014,11,,12/4/2015,0,,12/4/2015,1,,12/4/2016,0,,12/4/2016,3,,12/4/2017,0,,12/4/2017,0,,12/4/2018,0,,12/4/2018,1,12/4
0,12/5,12/5/2007,0,,12/5/2007,0,,12/5/2008,0,,12/5/2008,0,,12/5/2009,0,,12/5/2009,0,,12/5/2010,0,,12/5/2010,15,,12/5/2011,0,,12/5/2011,1,,12/5/2012,,,12/5/2012,,,12/5/2013,0,,12/5/2013,0,,12/5/2014,1,,12/5/2014,4,,12/5/2015,-2,,12/5/2015,0,,12/5/2016,0,,12/5/2016,3,,12/5/2017,0,,12/5/2017,0,,12/5/2018,1,,12/5/2018,2,12/5
0,12/6,12/6/2007,4,,12/6/2007,50,,12/6/2008,0,,12/6/2008,0,,12/6/2009,0,,12/6/2009,0,,12/6/2010,0,,12/6/2010,13,,12/6/2011,0,,12/6/2011,1,,12/6/2012,,,12/6/2012,,,12/6/2013,0,,12/6/2013,1,,12/6/2014,0,,12/6/2014,1,,12/6/2015,4,,12/6/2015,27,,12/6/2016,0,,12/6/2016,3,,12/6/2017,-1,,12/6/2017,0,,12/6/2018,0,,12/6/2018,0,12/6
0,12/7,12/7/2007,1,,12/7/2007,44,,12/7/2008,0,,12/7/2008,0,,12/7/2009,0,,12/7/2009,0,,12/7/2010,0,,12/7/2010,5,,12/7/2011,0,,12/7/2011,0,,12/7/2012,,,12/7/2012,,,12/7/2013,0,,12/7/2013,65,,12/7/2014,,,12/7/2014,,,12/7/2015,6,,12/7/2015,84,,12/7/2016,0,,12/7/2016,3,,12/7/2017,0,,12/7/2017,1,,12/7/2018,0,,12/7/2018,-1,12/7
0,12/8,12/8/2007,0,,12/8/2007,3,,12/8/2008,0,,12/8/2008,0,,12/8/2009,0,,12/8/2009,0,,12/8/2010,0,,12/8/2010,9,,12/8/2011,0,,12/8/2011,1,,12/8/2012,,,12/8/2012,,,12/8/2013,0,,12/8/2013,5,,12/8/2014,,,12/8/2014,,,12/8/2015,7,,12/8/2015,81,,12/8/2016,0,,12/8/2016,0,,12/8/2017,0,,12/8/2017,0,,12/8/2018,1,,12/8/2018,1,12/8
0,12/9,12/9/2007,0,,12/9/2007,1,,12/9/2008,0,,12/9/2008,0,,12/9/2009,0,,12/9/2009,0,,12/9/2010,0,,12/9/2010,2,,12/9/2011,0,,12/9/2011,1,,12/9/2012,,,12/9/2012,,,12/9/2013,0,,12/9/2013,0,,12/9/2014,,,12/9/2014,,,12/9/2015,1,,12/9/2015,19,,12/9/2016,0,,12/9/2016,0,,12/9/2017,0,,12/9/2017,0,,12/9/2018,0,,12/9/2018,1,12/9
0,12/10,12/10/2007,0,,12/10/2007,0,,12/10/2008,0,,12/10/2008,1,,12/10/2009,0,,12/10/2009,0,,12/10/2010,0,,12/10/2010,2,,12/10/2011,0,,12/10/2011,1,,12/10/2012,,,12/10/2012,,,12/10/2013,0,,12/10/2013,0,,12/10/2014,,,12/10/2014,,,12/10/2015,,,12/10/2015,,,12/10/2016,0,,12/10/2016,0,,12/10/2017,-1,,12/10/2017,1,,12/10/2018,-1,,12/10/2018,0,12/10
0,12/11,12/11/2007,1,,12/11/2007,1,,12/11/2008,0,,12/11/2008,0,,12/11/2009,0,,12/11/2009,1,,12/11/2010,0,,12/11/2010,1,,12/11/2011,0,,12/11/2011,2,,12/11/2012,,,12/11/2012,,,12/11/2013,0,,12/11/2013,0,,12/11/2014,,,12/11/2014,,,12/11/2015,,,12/11/2015,,,12/11/2016,0,,12/11/2016,0,,12/11/2017,0,,12/11/2017,0,,12/11/2018,0,,12/11/2018,1,12/11
0,12/12,12/12/2007,0,,12/12/2007,1,,12/12/2008,0,,12/12/2008,1,,12/12/2009,0,,12/12/2009,4,,12/12/2010,0,,12/12/2010,1,,12/12/2011,0,,12/12/2011,0,,12/12/2012,,,12/12/2012,,,12/12/2013,0,,12/12/2013,16,,12/12/2014,,,12/12/2014,,,12/12/2015,,,12/12/2015,,,12/12/2016,0,,12/12/2016,0,,12/12/2017,0,,12/12/2017,0,,12/12/2018,1,,12/12/2018,3,12/12
0,12/13,12/13/2007,0,,12/13/2007,2,,12/13/2008,0,,12/13/2008,1,,12/13/2009,0,,12/13/2009,0,,12/13/2010,0,,12/13/2010,1,,12/13/2011,0,,12/13/2011,0,,12/13/2012,,,12/13/2012,,,12/13/2013,0,,12/13/2013,59,,12/13/2014,,,12/13/2014,,,12/13/2015,,,12/13/2015,,,12/13/2016,0,,12/13/2016,0,,12/13/2017,0,,12/13/2017,0,,12/13/2018,0,,12/13/2018,3,12/13
0,12/14,12/14/2007,0,,12/14/2007,1,,12/14/2008,0,,12/14/2008,1,,12/14/2009,0,,12/14/2009,-1,,12/14/2010,0,,12/14/2010,0,,12/14/2011,0,,12/14/2011,0,,12/14/2012,,,12/14/2012,,,12/14/2013,0,,12/14/2013,32,,12/14/2014,,,12/14/2014,,,12/14/2015,,,12/14/2015,,,12/14/2016,,,12/14/2016,,,12/14/2017,0,,12/14/2017,0,,12/14/2018,-1,,12/14/2018,1,12/14
0,12/15,12/15/2007,0,,12/15/2007,4,,12/15/2008,0,,12/15/2008,0,,12/15/2009,1,,12/15/2009,6,,12/15/2010,0,,12/15/2010,0,,12/15/2011,0,,12/15/2011,6,,12/15/2012,,,12/15/2012,,,12/15/2013,0,,12/15/2013,1,,12/15/2014,,,12/15/2014,,,12/15/2015,,,12/15/2015,,,12/15/2016,,,12/15/2016,,,12/15/2017,0,,12/15/2017,-1,,12/15/2018,0,,12/15/2018,1,12/15
0,12/16,12/16/2007,2,,12/16/2007,6,,12/16/2008,0,,12/16/2008,3,,12/16/2009,1,,12/16/2009,17,,12/16/2010,0,,12/16/2010,0,,12/16/2011,0,,12/16/2011,0,,12/16/2012,,,12/16/2012,,,12/16/2013,0,,12/16/2013,0,,12/16/2014,,,12/16/2014,,,12/16/2015,,,12/16/2015,,,12/16/2016,,,12/16/2016,,,12/16/2017,0,,12/16/2017,0,,12/16/2018,0,,12/16/2018,3,12/16
0,12/17,12/17/2007,0,,12/17/2007,2,,12/17/2008,0,,12/17/2008,0,,12/17/2009,2,,12/17/2009,11,,12/17/2010,0,,12/17/2010,0,,12/17/2011,0,,12/17/2011,-1,,12/17/2012,,,12/17/2012,,,12/17/2013,0,,12/17/2013,20,,12/17/2014,,,12/17/2014,,,12/17/2015,,,12/17/2015,,,12/17/2016,,,12/17/2016,,,12/17/2017,0,,12/17/2017,-1,,12/17/2018,0,,12/17/2018,6,12/17
0,12/18,12/18/2007,1,,12/18/2007,10,,12/18/2008,0,,12/18/2008,0,,12/18/2009,7,,12/18/2009,18,,12/18/2010,0,,12/18/2010,0,,12/18/2011,0,,12/18/2011,3,,12/18/2012,,,12/18/2012,,,12/18/2013,0,,12/18/2013,99,,12/18/2014,,,12/18/2014,,,12/18/2015,,,12/18/2015,,,12/18/2016,,,12/18/2016,,,12/18/2017,0,,12/18/2017,-1,,12/18/2018,0,,12/18/2018,9,12/18
0,12/19,12/19/2007,0,,12/19/2007,6,,12/19/2008,0,,12/19/2008,2,,12/19/2009,0,,12/19/2009,9,,12/19/2010,0,,12/19/2010,0,,12/19/2011,0,,12/19/2011,0,,12/19/2012,,,12/19/2012,,,12/19/2013,0,,12/19/2013,32,,12/19/2014,,,12/19/2014,,,12/19/2015,,,12/19/2015,,,12/19/2016,,,12/19/2016,,,12/19/2017,0,,12/19/2017,0,,12/19/2018,0,,12/19/2018,0,12/19
0,12/20,12/20/2007,0,,12/20/2007,8,,12/20/2008,0,,12/20/2008,1,,12/20/2009,2,,12/20/2009,4,,12/20/2010,0,,12/20/2010,0,,12/20/2011,0,,12/20/2011,0,,12/20/2012,,,12/20/2012,,,12/20/2013,0,,12/20/2013,40,,12/20/2014,,,12/20/2014,,,12/20/2015,,,12/20/2015,,,12/20/2016,,,12/20/2016,,,12/20/2017,0,,12/20/2017,0,,12/20/2018,,,12/20/2018,,12/20
0,12/21,12/21/2007,1,,12/21/2007,0,,12/21/2008,0,,12/21/2008,0,,12/21/2009,1,,12/21/2009,4,,12/21/2010,0,,12/21/2010,0,,12/21/2011,0,,12/21/2011,0,,12/21/2012,,,12/21/2012,,,12/21/2013,0,,12/21/2013,51,,12/21/2014,,,12/21/2014,,,12/21/2015,,,12/21/2015,,,12/21/2016,,,12/21/2016,,,12/21/2017,0,,12/21/2017,4,,12/21/2018,,,12/21/2018,,12/21
0,12/22,12/22/2007,0,,12/22/2007,0,,12/22/2008,0,,12/22/2008,1,,12/22/2009,0,,12/22/2009,0,,12/22/2010,0,,12/22/2010,0,,12/22/2011,0,,12/22/2011,0,,12/22/2012,,,12/22/2012,,,12/22/2013,0,,12/22/2013,178,,12/22/2014,,,12/22/2014,,,12/22/2015,,,12/22/2015,,,12/22/2016,,,12/22/2016,,,12/22/2017,0,,12/22/2017,0,,12/22/2018,,,12/22/2018,,12/22
0,12/23,12/23/2007,0,,12/23/2007,0,,12/23/2008,0,,12/23/2008,1,,12/23/2009,0,,12/23/2009,1,,12/23/2010,0,,12/23/2010,0,,12/23/2011,0,,12/23/2011,0,,12/23/2012,,,12/23/2012,,,12/23/2013,0,,12/23/2013,84,,12/23/2014,,,12/23/2014,,,12/23/2015,,,12/23/2015,,,12/23/2016,,,12/23/2016,,,12/23/2017,0,,12/23/2017,1,,12/23/2018,,,12/23/2018,,12/23
0,12/24,12/24/2007,0,,12/24/2007,1,,12/24/2008,0,,12/24/2008,0,,12/24/2009,0,,12/24/2009,0,,12/24/2010,0,,12/24/2010,0,,12/24/2011,0,,12/24/2011,1,,12/24/2012,,,12/24/2012,,,12/24/2013,0,,12/24/2013,38,,12/24/2014,,,12/24/2014,,,12/24/2015,,,12/24/2015,,,12/24/2016,,,12/24/2016,,,12/24/2017,0,,12/24/2017,2,,12/24/2018,,,12/24/2018,,12/24
0,12/25,12/25/2007,0,,12/25/2007,0,,12/25/2008,0,,12/25/2008,0,,12/25/2009,0,,12/25/2009,0,,12/25/2010,0,,12/25/2010,0,,12/25/2011,0,,12/25/2011,0,,12/25/2012,,,12/25/2012,,,12/25/2013,0,,12/25/2013,2,,12/25/2014,,,12/25/2014,,,12/25/2015,,,12/25/2015,,,12/25/2016,,,12/25/2016,,,12/25/2017,0,,12/25/2017,7,,12/25/2018,,,12/25/2018,,12/25
0,12/26,12/26/2007,0,,12/26/2007,0,,12/26/2008,0,,12/26/2008,1,,12/26/2009,0,,12/26/2009,0,,12/26/2010,0,,12/26/2010,0,,12/26/2011,0,,12/26/2011,0,,12/26/2012,,,12/26/2012,,,12/26/2013,0,,12/26/2013,1,,12/26/2014,,,12/26/2014,,,12/26/2015,,,12/26/2015,,,12/26/2016,,,12/26/2016,,,12/26/2017,0,,12/26/2017,1,,12/26/2018,,,12/26/2018,,12/26
0,12/27,12/27/2007,0,,12/27/2007,0,,12/27/2008,0,,12/27/2008,1,,12/27/2009,0,,12/27/2009,0,,12/27/2010,0,,12/27/2010,0,,12/27/2011,0,,12/27/2011,1,,12/27/2012,,,12/27/2012,,,12/27/2013,0,,12/27/2013,10,,12/27/2014,,,12/27/2014,,,12/27/2015,,,12/27/2015,,,12/27/2016,,,12/27/2016,,,12/27/2017,0,,12/27/2017,2,,12/27/2018,,,12/27/2018,,12/27
0,12/28,12/28/2007,0,,12/28/2007,0,,12/28/2008,,,12/28/2008,,,12/28/2009,0,,12/28/2009,0,,12/28/2010,0,,12/28/2010,0,,12/28/2011,0,,12/28/2011,0,,12/28/2012,,,12/28/2012,,,12/28/2013,0,,12/28/2013,5,,12/28/2014,,,12/28/2014,,,12/28/2015,,,12/28/2015,,,12/28/2016,,,12/28/2016,,,12/28/2017,0,,12/28/2017,-1,,12/28/2018,,,12/28/2018,,12/28
0,12/29,12/29/2007,0,,12/29/2007,0,,12/29/2008,,,12/29/2008,,,12/29/2009,0,,12/29/2009,0,,12/29/2010,0,,12/29/2010,0,,12/29/2011,0,,12/29/2011,4,,12/29/2012,,,12/29/2012,,,12/29/2013,0,,12/29/2013,0,,12/29/2014,,,12/29/2014,,,12/29/2015,,,12/29/2015,,,12/29/2016,,,12/29/2016,,,12/29/2017,0,,12/29/2017,3,,12/29/2018,,,12/29/2018,,12/29
0,12/30,12/30/2007,0,,12/30/2007,0,,12/30/2008,,,12/30/2008,,,12/30/2009,0,,12/30/2009,0,,12/30/2010,0,,12/30/2010,0,,12/30/2011,0,,12/30/2011,1,,12/30/2012,,,12/30/2012,,,12/30/2013,0,,12/30/2013,4,,12/30/2014,,,12/30/2014,,,12/30/2015,,,12/30/2015,,,12/30/2016,,,12/30/2016,,,12/30/2017,0,,12/30/2017,2,,12/30/2018,,,12/30/2018,,12/30
0,12/31,12/31/2007,0,,12/31/2007,0,,12/31/2008,,,12/31/2008,,,12/31/2009,0,,12/31/2009,0,,12/31/2010,0,,12/31/2010,0,,12/31/2011,0,,12/31/2011,1,,12/31/2012,,,12/31/2012,,,12/31/2013,0,,12/31/2013,7,,12/31/2014,,,12/31/2014,,,12/31/2015,,,12/31/2015,,,12/31/2016,,,12/31/2016,,,12/31/2017,0,,12/31/2017,1,,12/31/2018,,,12/31/2018,,12/31
1,1/1,1/1/2008,,,1/1/2008,,,1/1/2009,,,1/1/2009,,,1/1/2010,0,,1/1/2010,1,,1/1/2011,0,,1/1/2011,0,,1/1/2012,0,,1/1/2012,0,,1/1/2013,,,1/1/2013,,,1/1/2014,0,,1/1/2014,24,,1/1/2015,,,1/1/2015,,,1/1/2016,,,1/1/2016,,,1/1/2017,,,1/1/2017,,,1/1/2018,0,,1/1/2018,3,,1/1/2019,,,1/1/2019,,1/1
1,1/2,1/2/2008,,,1/2/2008,,,1/2/2009,,,1/2/2009,,,1/2/2010,0,,1/2/2010,0,,1/2/2011,0,,1/2/2011,0,,1/2/2012,0,,1/2/2012,0,,1/2/2013,,,1/2/2013,,,1/2/2014,0,,1/2/2014,6,,1/2/2015,,,1/2/2015,,,1/2/2016,,,1/2/2016,,,1/2/2017,,,1/2/2017,,,1/2/2018,0,,1/2/2018,3,,1/2/2019,,,1/2/2019,,1/2
1,1/3,1/3/2008,,,1/3/2008,,,1/3/2009,,,1/3/2009,,,1/3/2010,0,,1/3/2010,0,,1/3/2011,0,,1/3/2011,0,,1/3/2012,0,,1/3/2012,0,,1/3/2013,,,1/3/2013,,,1/3/2014,0,,1/3/2014,10,,1/3/2015,,,1/3/2015,,,1/3/2016,,,1/3/2016,,,1/3/2017,,,1/3/2017,,,1/3/2018,0,,1/3/2018,2,,1/3/2019,,,1/3/2019,,1/3
1,1/4,1/4/2008,,,1/4/2008,,,1/4/2009,,,1/4/2009,,,1/4/2010,0,,1/4/2010,0,,1/4/2011,0,,1/4/2011,0,,1/4/2012,0,,1/4/2012,0,,1/4/2013,,,1/4/2013,,,1/4/2014,0,,1/4/2014,3,,1/4/2015,,,1/4/2015,,,1/4/2016,,,1/4/2016,,,1/4/2017,,,1/4/2017,,,1/4/2018,0,,1/4/2018,1,,1/4/2019,,,1/4/2019,,1/4
1,1/5,1/5/2008,,,1/5/2008,,,1/5/2009,,,1/5/2009,,,1/5/2010,0,,1/5/2010,0,,1/5/2011,0,,1/5/2011,0,,1/5/2012,0,,1/5/2012,0,,1/5/2013,,,1/5/2013,,,1/5/2014,0,,1/5/2014,23,,1/5/2015,,,1/5/2015,,,1/5/2016,,,1/5/2016,,,1/5/2017,,,1/5/2017,,,1/5/2018,0,,1/5/2018,0,,1/5/2019,,,1/5/2019,,1/5
1,1/6,1/6/2008,,,1/6/2008,,,1/6/2009,,,1/6/2009,,,1/6/2010,0,,1/6/2010,0,,1/6/2011,0,,1/6/2011,0,,1/6/2012,0,,1/6/2012,0,,1/6/2013,,,1/6/2013,,,1/6/2014,0,,1/6/2014,42,,1/6/2015,,,1/6/2015,,,1/6/2016,,,1/6/2016,,,1/6/2017,,,1/6/2017,,,1/6/2018,0,,1/6/2018,0,,1/6/2019,,,1/6/2019,,1/6
